flow_id,packet_count,total_bytes,start_time,end_time,duration
10.52.21.225_10.52.21.69_49787_53_UDP,2,147,1773570552.576518,1773570552.91875,0.0
10.52.21.225_10.52.21.69_54145_53_UDP,1,74,1773570552.701298,1773570552.701298,0.0
10.52.21.225_10.52.21.69_55141_53_UDP,1,70,1773570552.576864,1773570552.576864,0.0
10.52.21.225_10.52.21.69_56923_53_UDP,1,77,1773570552.918591,1773570552.918591,0.0
10.52.21.225_10.52.21.69_64699_53_UDP,1,74,1773570552.701104,1773570552.701104,0.0
10.52.21.225_104.208.16.91_41796_443_TCP,31,23224,1773570559.511703,1773570614.863689,5.5e-08
10.52.21.225_104.86.188.184_18643_443_TCP,10,7769,1773570552.187248,1773570597.365822,4.5e-08
10.52.21.225_13.107.137.11_41793_443_TCP,327,410798,1773570549.626115,1773570619.773651,7e-08
10.52.21.225_13.107.137.11_41794_443_TCP,272,326031,1773570579.053307,1773570619.706296,4e-08
10.52.21.225_13.107.137.11_41795_443_TCP,1052,1475014,1773570566.214358,1773570620.024727,5.4e-08
10.52.21.225_13.107.137.11_60903_443_TCP,471,618302,1773570571.935178,1773570619.163354,4.8e-08
10.52.21.225_13.107.137.11_60904_443_TCP,331,433349,1773570571.903327,1773570619.194547,4.8e-08
10.52.21.225_13.107.137.11_8863_443_TCP,239,296360,1773570557.165901,1773570619.356871,6.2e-08
10.52.21.225_13.107.4.254_41792_443_TCP,1,55,1773570579.379226,1773570579.379226,0.0
10.52.21.225_13.107.6.254_10811_443_TCP,2,110,1773570538.786324,1773570583.980874,4.5e-08
10.52.21.225_149.154.167.41_64104_443_TCP,4,730,1773570564.359825,1773570609.640062,4.5e-08
10.52.21.225_152.53.246.111_27546_9001_TCP,3078,577704,1773570539.827427,1773570620.053665,8.1e-08
10.52.21.225_204.79.197.222_13135_443_TCP,2,110,1773570550.316585,1773570595.563877,4.5e-08
10.52.21.225_204.79.197.222_37605_443_TCP,2,110,1773570551.741015,1773570596.9865,4.5e-08
10.52.21.225_23.53.128.229_11632_80_TCP,10,1634,1773570552.98466,1773570613.845746,6.1e-08
10.52.21.225_23.61.112.7_60900_443_TCP,2,110,1773570575.140781,1773570620.214996,4.5e-08
10.52.21.225_4.213.25.241_53731_443_TCP,3,395,1773570559.769484,1773570594.586305,3.5e-08
10.52.21.225_45.13.104.185_60901_9001_TCP,4098,1250348,1773570541.396312,1773570620.26748,7.9e-08
10.52.21.225_52.104.99.55_60902_443_TCP,77,39944,1773570557.910872,1773570620.051077,6.3e-08
10.52.21.225_91.108.56.164_64102_443_TCP,4,682,1773570558.407248,1773570603.7484,4.5e-08
10.52.21.69_10.52.21.225_53_49787_UDP,2,361,1773570552.626503,1773570552.983856,0.0
10.52.21.69_10.52.21.225_53_54145_UDP,1,219,1773570552.768033,1773570552.768033,0.0
10.52.21.69_10.52.21.225_53_55141_UDP,1,133,1773570552.628993,1773570552.628993,0.0
10.52.21.69_10.52.21.225_53_56923_UDP,1,197,1773570552.980693,1773570552.980693,0.0
10.52.21.69_10.52.21.225_53_64699_UDP,1,179,1773570552.768033,1773570552.768033,0.0
104.208.16.91_10.52.21.225_443_41796_TCP,20,4336,1773570559.968969,1773570614.863622,5.5e-08
104.86.188.184_10.52.21.225_443_18643_TCP,10,823,1773570552.292665,1773570597.552571,4.5e-08
13.107.137.11_10.52.21.225_443_41793_TCP,260,93868,1773570549.932946,1773570619.773518,7e-08
13.107.137.11_10.52.21.225_443_41794_TCP,237,103749,1773570579.125466,1773570619.65823,4e-08
13.107.137.11_10.52.21.225_443_41795_TCP,800,108587,1773570566.419381,1773570619.975353,5.3e-08
13.107.137.11_10.52.21.225_443_60903_TCP,349,96142,1773570572.157637,1773570619.1632,4.7e-08
13.107.137.11_10.52.21.225_443_60904_TCP,298,81688,1773570572.153835,1773570619.194391,4.7e-08
13.107.137.11_10.52.21.225_443_8863_TCP,209,74391,1773570557.311206,1773570619.308487,6.2e-08
13.107.4.254_10.52.21.225_443_41792_TCP,2,120,1773570579.63516,1773570618.336516,3.9e-08
13.107.6.254_10.52.21.225_443_10811_TCP,2,132,1773570538.97694,1773570584.032568,4.6e-08
149.154.167.41_10.52.21.225_443_64104_TCP,2,286,1773570564.615924,1773570609.597204,4.5e-08
152.53.246.111_10.52.21.225_9001_27546_TCP,3597,8174796,1773570540.516149,1773570620.029617,8e-08
204.79.197.222_10.52.21.225_443_13135_TCP,2,132,1773570550.549979,1773570595.611684,4.5e-08
204.79.197.222_10.52.21.225_443_37605_TCP,2,132,1773570551.98164,1773570597.070104,4.6e-08
23.53.128.229_10.52.21.225_80_11632_TCP,9,1423,1773570553.111165,1773570613.845601,6e-08
23.61.112.7_10.52.21.225_443_60900_TCP,2,132,1773570575.200854,1773570620.276396,4.5e-08
4.213.25.241_10.52.21.225_443_53731_TCP,6,1734,1773570559.767746,1773570594.691601,3.5e-08
45.13.104.185_10.52.21.225_9001_60901_TCP,4627,12121860,1773570541.547077,1773570620.239186,7.9e-08
52.104.99.55_10.52.21.225_443_60902_TCP,88,172496,1773570558.200172,1773570620.386971,6.2e-08
91.108.56.164_10.52.21.225_443_64102_TCP,3,340,1773570558.639077,1773570603.693976,4.5e-08
